Side,sentiment,fills,accounts,symbols,notional_usd,avg_notional_usd,gross_closed_pnl,total_fees,net_pnl,closed_fills,reducing_position_rate,closed_win_rate,avg_closed_pnl,median_closed_pnl,net_pnl_per_1k_notional
BUY,Extreme Fear,10935,30,59,56441029.67,5161.502484682213,373043.441701,11155.8603533869,361887.5813476131,3123,28.550525834476453,70.60518731988472,119.45034956804353,2.7995,6.4117820575475175
BUY,Fear,30270,32,106,246841746.10999998,8154.6662077964975,1935073.439058,45442.8438511548,1889630.5952068453,9230,30.502147340601255,86.2513542795233,209.65042676684723,7.991306,7.655231033590121
BUY,Neutral,18969,30,132,73626474.65,3881.4104407190684,554415.09155,16466.4244068708,537948.6671431292,5861,30.85560651589435,77.68298925098107,94.5939415714042,7.69888,7.306456946368668
BUY,Greed,24576,31,148,154988320.2,6306.490893554687,614456.584204,35051.3784391683,579405.2057648316,11343,46.11409505208333,68.91474918451908,54.17055313444415,2.7775,3.738379801891883
BUY,Extreme Greed,17940,28,150,60332842.01,3363.0346716833888,188350.754579,12906.86488915,175443.88968985,6500,36.2263099219621,85.95384615384616,28.977039166,4.520568,2.907933454564774
SELL,Extreme Fear,10465,30,78,58043231.77,5546.414884854276,366066.806789,12732.773586,353334.03320299997,7283,69.6225513616818,78.62144720582178,50.263189178772485,8.919114,6.087428670462536
SELL,Fear,31567,32,126,236483043.68,7491.463987075111,1422082.002584,47014.104823,1375067.897761,20578,65.47660531567776,87.75391194479542,69.10691041811643,5.698752000000001,5.814657475491944
SELL,Neutral,18717,29,111,106615588.43,5696.190010685474,738505.584,22907.843897,715597.740103,12298,66.00416733450874,84.6316474223451,60.05086875914783,3.8530379999999997,6.711942884157469
SELL,Greed,25727,31,184,133594174.52,5192.761477047459,1535672.688747,28047.31354,1507625.375207,13833,54.62354724608388,83.43092604641076,111.01515858794187,8.344286,11.285113146765976
SELL,Extreme Greed,22052,29,152,64132322.56,2908.2315690186833,2526820.556094,14123.800576,2512696.755518,14353,65.2367132232904,90.6221695812722,176.0482516612555,11.545612,39.17988083414892
