Coin,sentiment,fills,accounts,symbols,notional_usd,avg_notional_usd,gross_closed_pnl,total_fees,net_pnl,closed_fills,reducing_position_rate,closed_win_rate,avg_closed_pnl,median_closed_pnl,net_pnl_per_1k_notional
@1,Fear,1,1,1,0.58,0.58,0.0,0.0,0.0,0,100.0,,,,0.0
@1,Greed,6,2,1,498.3,83.05,1.078679000000001,0.15367548,0.9250035200000042,3,66.66666666666666,66.66666666666666,0.359559666666667,3.665465,1.8563185229781338
@1,Extreme Greed,27,2,1,3162.81,117.14111111111112,495.667559,0.44112627,495.22643273,15,55.55555555555556,73.33333333333333,33.04450393333333,15.411759,156.57799005631068
@10,Extreme Fear,2,1,1,37.260000000000005,18.630000000000003,-0.063484,0.012517,-0.076001,1,100.0,0.0,-0.063484,-0.063484,-2.039747718733226
@10,Fear,1,1,1,0.0,0.0,0.0,0.0,0.0,0,100.0,,,,
@10,Greed,1,1,1,0.05,0.05,0.0,0.0,0.0,0,100.0,,,,0.0
@100,Extreme Greed,4,2,1,42.67,10.6675,27.627142,0.0448066,27.5823354,2,75.0,100.0,13.813571,13.813571,646.41048511835
@103,Greed,2,1,1,4.54,2.27,4.494691,0.001361,4.49333,1,100.0,100.0,4.494691,4.494691,989.7202643171806
@103,Extreme Greed,5,2,1,35.46,7.0920000000000005,34.063345,0.012055,34.05129,3,100.0,100.0,11.354448333333332,9.970923,960.2732656514382
@107,Extreme Fear,1519,9,1,2484219.74,1635.4310335747205,-136085.3683,346.65061828,-136432.01891828,886,58.32784726793944,42.43792325056434,-153.59522381489842,-1.899443,-54.91946494164803
@107,Fear,5462,14,1,8182406.93,1498.0605876968143,-12514.843273999999,1198.69464864,-13713.53792264,2969,54.35737824972537,76.22094981475243,-4.215171193667901,2.175716,-1.6759784791881525
@107,Neutral,4210,14,1,7717676.43,1833.177299287411,219551.950858,1048.29730258,218503.65355542,1932,45.89073634204276,87.37060041407867,113.63972611697723,7.818873999999999,28.312103459800014
@107,Greed,8398,17,1,16923981.98,2015.2395784710645,724342.30586,1596.56603756,722745.73982244,5038,60.0142891164563,76.49861055974593,143.7757653552997,10.738571499999999,42.70541889471097
@107,Extreme Greed,10403,23,1,20452573.55,1966.026487551668,1988618.873872,1763.01618093,1986855.85769107,6341,61.03047197923676,92.1463491562845,313.6128172010724,12.508833,97.144540408758
