Account,sentiment,closed_fills,net_pnl,closed_win_rate
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,1051,1111838.8732430001,89.058039961941
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,893,1104593.131794,93.84098544232923
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Fear,6283,617545.078387,98.63122712080217
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,2464,530030.936207,65.30032467532467
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Greed,4520,477482.967418,88.69469026548673
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Greed,269,453211.178075,69.88847583643123
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,1535,399848.473829,85.14657980456026
0x513b8629fe877bb581bf244e326a047b249c4ff1,Neutral,1443,372645.72661,96.67359667359668
0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,2576,347824.700492,86.0248447204969
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Fear,599,295148.333444,95.32554257095158
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,153,276009.037755,60.130718954248366
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Extreme Fear,1700,260504.231943,100.0
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Greed,4424,241586.315588,77.07956600361663
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Fear,700,235594.40106,84.14285714285714
0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,492,227617.545214,100.0
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,3434,210223.628473,95.34071054164241
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Extreme Fear,187,198848.408303,49.73262032085562
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Fear,311,165527.831189,98.07073954983923
0x513b8629fe877bb581bf244e326a047b249c4ff1,Greed,1306,153980.023951,91.34762633996937
0x8170715b3b381dffb7062c0298972d4727a0a63b,Fear,607,151102.574318,85.33772652388797
